2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
93.8131 	EXP 	fixation: autoDraw = True
94.8119 	EXP 	grating: autoDraw = True
94.8119 	EXP 	grating: tex = 'sin'
94.8285 	EXP 	fixation: autoDraw = False
95.1118 	EXP 	grating: autoDraw = False
95.1975 	DATA 	Keypress: right
95.2141 	EXP 	window1: recordFrameIntervals = False
95.2284 	EXP 	fixation: autoDraw = False
95.2284 	EXP 	grating: autoDraw = False
95.2287 	EXP 	window1: recordFrameIntervals = False
96.2283 	EXP 	fixation: autoDraw = True
97.2272 	EXP 	fixation: autoDraw = False
97.2272 	EXP 	grating: autoDraw = True
97.2272 	EXP 	grating: tex = 'sin'
97.5271 	EXP 	grating: autoDraw = False
97.6127 	EXP 	window1: recordFrameIntervals = False
97.6142 	DATA 	Keypress: left
97.6274 	EXP 	fixation: autoDraw = False
97.6274 	EXP 	grating: autoDraw = False
97.6277 	EXP 	window1: recordFrameIntervals = False
98.6266 	EXP 	fixation: autoDraw = True
99.6259 	EXP 	fixation: autoDraw = False
99.6259 	EXP 	grating: autoDraw = True
99.6259 	EXP 	grating: tex = 'sin'
99.9258 	EXP 	grating: autoDraw = False
99.9950 	EXP 	window1: recordFrameIntervals = False
99.9968 	DATA 	Keypress: left
100.0095 	EXP 	fixation: autoDraw = False
100.0095 	EXP 	grating: autoDraw = False
100.0099 	EXP 	window1: recordFrameIntervals = False
101.0085 	EXP 	fixation: autoDraw = True
102.0079 	EXP 	fixation: autoDraw = False
102.0079 	EXP 	grating: autoDraw = True
102.0079 	EXP 	grating: tex = 'sin'
102.3078 	EXP 	grating: autoDraw = False
102.3275 	EXP 	window1: recordFrameIntervals = False
102.3289 	DATA 	Keypress: right
102.3411 	EXP 	fixation: autoDraw = False
102.3411 	EXP 	grating: autoDraw = False
102.3414 	EXP 	window1: recordFrameIntervals = False
103.3405 	EXP 	fixation: autoDraw = True
104.3401 	EXP 	fixation: autoDraw = False
104.3401 	EXP 	grating: autoDraw = True
104.3401 	EXP 	grating: tex = 'sin'
104.6398 	EXP 	grating: autoDraw = False
104.6768 	DATA 	Keypress: left
104.6924 	EXP 	window1: recordFrameIntervals = False
104.7064 	EXP 	fixation: autoDraw = False
104.7064 	EXP 	grating: autoDraw = False
104.7067 	EXP 	window1: recordFrameIntervals = False
105.7058 	EXP 	fixation: autoDraw = True
106.7057 	EXP 	fixation: autoDraw = False
106.7057 	EXP 	grating: autoDraw = True
106.7057 	EXP 	grating: tex = 'sin'
107.0052 	EXP 	grating: autoDraw = False
107.0752 	DATA 	Keypress: right
107.0912 	EXP 	window1: recordFrameIntervals = False
107.1051 	EXP 	fixation: autoDraw = False
107.1051 	EXP 	grating: autoDraw = False
107.1054 	EXP 	window1: recordFrameIntervals = False
108.1044 	EXP 	fixation: autoDraw = True
109.1040 	EXP 	fixation: autoDraw = False
109.1040 	EXP 	grating: autoDraw = True
109.1040 	EXP 	grating: tex = 'sin'
109.4039 	EXP 	grating: autoDraw = False
109.4894 	EXP 	window1: recordFrameIntervals = False
109.4908 	DATA 	Keypress: right
109.5039 	EXP 	fixation: autoDraw = False
